epoch,layer,batch_loss,ortho_reg_mean,ortho_reg_var,intra_head_non_ortho_mean,intra_head_non_ortho_var,head_output_disagreement_mean,head_output_disagreement_var,attended_pos_disagreement_mean,attended_pos_disagreement_var,dropout,num_heads
0,0,8.60694408416748,416518784.0,0.0,6509045.0,0.0,-0.042034912854433,0.0,0.0024850344052538,3.3685091188292466e-11,0.0,2
0,1,8.60694408416748,3652632.75,0.0,82670.46875,0.0,-0.1442618370056152,0.0,6.675733311567456e-05,1.7808867716021665e-17,0.0,2
0,2,8.60694408416748,3553671.25,0.0,75812.734375,0.0,-0.0470576137304306,0.0,6.654475146206096e-05,1.3466267491242356e-14,0.0,2
0,3,8.60694408416748,3547659.0,0.0,75178.6796875,0.0,-0.1900044530630111,0.0,6.643144297413528e-05,8.6059870930017e-17,0.0,2
0,4,8.60694408416748,3972800.875,0.015625,78141.6015625,0.0,0.1555780470371246,0.0,6.619374471483752e-05,5.368330707064225e-15,0.0,2
0,5,8.60694408416748,4276431.25,0.0625,74633.31640625,1.52587890625e-05,-0.017772015184164,0.0,6.619357372983359e-05,5.085850645459734e-16,0.0,2
1,0,7.266845703125,527185536.0,0.0,34948844.0,0.0,-0.0254744365811347,0.0,0.0023572948994114,3.531055804860601e-09,0.0,2
1,1,7.266845703125,7740986.0,0.0,295637.6875,0.0,0.0766436904668808,0.0,6.558093446074054e-05,8.735374769120539e-14,0.0,2
1,2,7.266845703125,13426236.0,0.0,326953.78125,0.0,-0.2048874646425247,0.0,6.433224189095199e-05,1.2514415487314756e-14,0.0,2
1,3,7.266845703125,16719980.0,0.0,398345.75,0.0,-0.151182472705841,0.0,6.405259046005085e-05,7.19268403314593e-16,0.0,2
1,4,7.266845703125,14689703.0,0.0,445848.5,0.0,0.1825734674930572,0.0,6.399656558642164e-05,3.2115090082513267e-16,0.0,2
1,5,7.266845703125,19378828.0,0.0,471814.125,0.0,-0.1648791581392288,0.0,6.39875142951496e-05,4.2398763570406045e-18,0.0,2
2,0,6.6345720291137695,515233056.0,0.0,43665504.0,0.0,-0.0343811064958572,0.0,0.0026511700125411,9.464111769800923e-10,0.0,2
2,1,6.6345720291137695,11091350.5,0.25,347157.75,0.0,0.0222031753510236,0.0,6.700674202875234e-05,2.34446530797356e-13,0.0,2
2,2,6.6345720291137695,18850988.0,0.0,474017.078125,0.000244140625,-0.1550773382186889,0.0,6.486823986051604e-05,8.234820431888419e-14,0.0,2
2,3,6.6345720291137695,21757388.0,0.0,1025082.625,0.0,-0.0239178240299224,0.0,6.394702359102666e-05,2.019225431696173e-16,0.0,2
2,4,6.6345720291137695,19995480.0,0.0,1282234.75,0.0,0.0111281825229525,0.0,6.399289486580528e-05,4.975949311693571e-17,0.0,2
2,5,6.6345720291137695,23283587.0,1.0,1426430.375,0.0,0.0503833666443824,0.0,6.398639379767701e-05,2.8989702619778434e-19,0.0,2
3,0,5.641751766204834,687838592.0,0.0,125161688.0,0.0,-0.0308851078152656,0.0,0.0024258323246613,6.866151693567115e-10,0.0,2
3,1,5.641751766204834,16937332.0,0.0,445354.03125,0.0,-0.022847032174468,0.0,6.91691820975393e-05,3.093847582985926e-12,0.0,2
3,2,5.641751766204834,25689620.0,0.0,706939.375,0.0,-0.0746774673461914,0.0,6.565057628904469e-05,1.639231983308713e-13,0.0,2
3,3,5.641751766204834,25867360.0,0.0,1740127.125,0.0,-0.0055702840909361,0.0,6.392968134605326e-05,2.0368401435788167e-16,0.0,2
3,4,5.641751766204834,23958060.0,0.0,2277382.5,0.0,-0.0045064473524689,0.0,6.399087214958854e-05,5.561962438806558e-19,0.0,2
3,5,5.641751766204834,26974996.0,0.0,2512588.25,0.0,0.0258056633174419,0.0,6.398694313247688e-05,3.8248831524452e-21,0.0,2
4,0,5.229296684265137,819439040.0,4096.0,215353064.0,64.0,-0.0317949652671813,0.0,0.0023194110253825,9.612239628521222e-10,0.0,2
4,1,5.229296684265137,24299715.0,1.0,529249.0625,0.0,-0.0305555928498506,0.0,7.176123835961334e-05,1.0202588029716976e-11,0.0,2
4,2,5.229296684265137,32726673.0,1.0,926128.1875,0.0,-0.0344485566020011,0.0,6.625639798585325e-05,1.833218434317557e-13,0.0,2
4,3,5.229296684265137,30004496.0,0.0,2478271.875,0.015625,0.0018406312447041,0.0,6.392768045770936e-05,4.3347875899205297e-16,0.0,2
4,4,5.229296684265137,28141995.0,1.0,3375137.75,0.0,-0.0071577769704163,0.0,6.398985351552255e-05,6.301131034183944e-20,0.0,2
4,5,5.229296684265137,31721841.0,1.0,3753774.25,0.0,0.0568801462650299,0.0,6.398700861609541e-05,1.072026073868724e-21,0.0,2
5,0,5.453460693359375,872291104.0,1024.0,214874208.0,0.0,-0.029190793633461,0.0,0.0025123906088992,1.979741419749965e-09,0.0,2
5,1,5.453460693359375,33036364.0,0.0,572831.5625,0.0,-0.0096666142344474,0.0,7.603717676829547e-05,2.7849696456443007e-11,0.0,2
5,2,5.453460693359375,40654512.0,0.0,1100672.875,0.0,-0.0128220980986952,0.0,6.786720405216329e-05,2.813926958830613e-13,0.0,2
5,3,5.453460693359375,34315590.0,4.0,3231733.0,0.0,0.0055631138384342,0.0,6.390501948771998e-05,1.4966272261243924e-15,0.0,2
5,4,5.453460693359375,32706351.0,1.0,4504529.0,0.0,-0.0069696428254246,0.0,6.398985351552255e-05,2.2247849755226232e-20,0.0,2
5,5,5.453460693359375,36765464.0,0.0,5076314.5,0.0,0.0899819955229759,0.0,6.39870049781166e-05,1.3234889800848445e-21,0.0,2
6,0,5.600887775421143,971231488.0,0.0,247119696.0,0.0,-0.0326929576694965,0.0,0.002527761273086,3.773306189204517e-09,0.0,2
6,1,5.600887775421143,41892692.0,0.0,623125.25,0.0,0.0145665667951107,0.0,7.750694203423336e-05,3.285314810250032e-11,0.0,2
6,2,5.600887775421143,48605472.0,0.0,1253572.0,0.0,7.027966785244644e-05,0.0,6.777440285077319e-05,3.4243114651646945e-13,0.0,2
6,3,5.600887775421143,38389136.0,0.0,3977747.75,0.0,0.0076709906570613,0.0,6.393834337359294e-05,8.390052454362569e-16,0.0,2
6,4,5.600887775421143,37303228.0,0.0,5628385.0,0.0,-0.0065734502859413,0.0,6.398843470378779e-05,1.4412794993123954e-20,0.0,2
6,5,5.600887775421143,41558300.0,0.0,6401678.5,0.0,0.1103831455111503,0.0,6.398702316801064e-05,3.3087224502121107e-22,0.0,2
7,0,5.631670475006104,1025551104.0,0.0,288063296.0,0.0,-0.0292968600988388,0.0,0.002538752160035,2.2752802262849267e-09,0.0,2
7,1,5.631670475006104,50758984.0,0.0,684332.4375,0.0,0.0310037732124328,0.0,8.031182005652227e-05,6.479780552993333e-11,0.0,2
7,2,5.631670475006104,56036024.0,0.0,1438423.125,0.0,0.012317955493927,0.0,6.91021305101458e-05,2.886955926669305e-13,0.0,2
7,3,5.631670475006104,42235728.0,0.0,4731869.75,0.0625,0.0086376816034317,0.0,6.392495924956165e-05,1.3524982835764178e-15,0.0,2
7,4,5.631670475006104,41865040.0,0.0,6727423.0,0.0,-0.0061276517808437,0.0,6.398850382538512e-05,6.485096002415737e-20,0.0,2
7,5,5.631670475006104,46639996.0,0.0,7693449.5,0.0,0.1252010762691497,0.0,6.398702316801064e-05,6.485096002415737e-22,0.0,2
8,0,5.610363006591797,1139676928.0,0.0,341607456.0,0.0,-0.0312873534858226,0.0,0.0025672147748991,3.378367462096945e-09,0.0,2
